"","P2S1","P2WF","P3S1","P3WF","P4B2","P4S1","P4S2","P4S3","P5S1","P5S2"
"109",51.8339284297443,408.279802145644,101.980740828604,427.434734004077,0,0,0.641679631268883,0,0,0
"110",5.42054153513666,380.584120721743,16.1529778617411,498.67385633809,23.3691774390551,4.21821462488756,1.10002222503237,0.408733211794242,22.7696757598172,14.9685761473387
"111",0,9.82116362549658,20.4925838544477,0,0,0,0,0,8.04988536963234,6.94969606840725
"112",0,0.617330285031214,0,0,0,0,0,0,0,0
"113",6177.04586313417,10822.8661943622,9502.77276714012,4092.59624588092,172.109478478191,81.3932021967435,7.44806714865668,2.5432288733864,1419.3097890286,424.626429779683
"114",148.793865139501,1174.58310914189,490.134387954025,559.866435778845,0,0,1.81045324536578,1.25647616958971,156.397772895714,82.0064136072055
"115",254.291154767099,1139.87231084263,617.670586295235,596.399319027056,0,0,0,0,66.9290469303717,36.9403075636108
"116",696.946127880196,3013.35748404236,1964.87715780881,1916.1497263687,0,543.966285974631,9.80853150653865,3.78456677587261,811.313446896516,896.671170426114
"117",83.8151234870506,775.142354259193,1302.60506547742,412.821580704792,0,0,0.825016668774279,3.78456677587261,32.5445365657993,35.8711235530866
"118",30.0162487508193,165.360334985861,0,90.418886039324,0,25.5660486395359,0,0,24.2646544713203,26.0880898567903
"119",3.11681138270358,31.3716026665862,59.3079485669898,51.1460365474964,0,13.3515662909485,0.733348150021581,0,0,0
"120",3.45559522864962,3.81622358019296,65.3351791124156,231.983808626144,0,27.5100953797015,0,0,66.8140485679484,72.1164615098567
"121",11.5186507621654,8.9512891329526,117.410451024894,154.351431723695,0,22.5582782113552,0,0.423871478897733,87.3987554417225,80.081882388262
"122",4.60746030486616,5.69627490278802,108.249060595847,274.909946442793,0,14.6353707420012,0,0,32.1995414785293,27.7453250731028
"123",22.5630041400064,31.3716026665862,12700.0980268776,147.044855074052,0,207.609519798814,28.3714065539599,1.16564656696876,317.510478650784,370.899933250842
"124",22.0209499864927,25.8436905688067,127.53619834121,145.218210911642,0,34.039158016484,1.23752500316142,0.772051622278013,27.9446020688665,29.9371522946774
"125",10.0280018400028,6.62227033033484,20.0104054108136,0,0,37.5237700979128,0,0,11.9598296920252,15.556627353127
"126",10.9765966086517,11.5328521430831,40.2619000434443,0,0,57.5877996615084,0,0,12.3048247792951,9.08806408945563
"127",357.68798454983,403.369220332895,139.831748653878,275.823268523998,0,0,0,0,174.682512521022,170.160635274925
"128",1.96494630648704,10.6068567155363,0,0,0,0,0,0,0,2.61950082578427
"129",122.775265770845,553.548842400489,583.918095240851,396.381783243097,0,109.746940501422,13.7731949425928,1.57437977876301,219.416875503693,206.780187635379
"130",1.89718953729783,2.44126067262344,232115.157713336,2499.76253625889,5.81722013504376,4.95181716834627,1.19169074378507,1.19592310117575,72.793963413961,65.7013574467116
